name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Saint Mary-of-the-Woods College,Indiana,Saint Mary-Of-The-Woods,Private,0,1,Catholic,Baccalaureate College,,1840,,Jenalyn,,"1,030",,"HLC, NASM, TCATE"
Fordham University,New York,Bronx,Private,0,1,Catholic,Doctoral University,,1841,,Jenalyn,,"17,522",,
Manhattanville College,New York,Purchase,Private,0,1,Catholic,Liberal Arts,,1841,,Jenalyn,,"3,486",,
Samford University,Alabama,Birmingham,Private,0,1,Christian,Masters University,,1841,,Jenalyn,,"5,692",,SACS
St. Mary's College,Delaware,Wilmington[9],Private,0,1,Catholic,Baccalaureate College,,1841,1866,Jenalyn,,,,
Ohio Wesleyan University,Ohio,Delaware,Private,0,1,Methodist,Baccalaureate College,,1842,,Jenalyn,,,,
Willamette University,Oregon,Salem,Private,0,0,none,Baccalaureate College,,1842,,Jenalyn,,"2,663",,
Cumberland University,Tennessee,Lebanon,Private,0,1,Christian,Masters University,,1842,,Jenalyn,,,,
"The Citadel, The Military College of South Carolina",South Carolina,Charleston,Public,0,0,,Masters University,,1842,,,,3763,,SACS
Hollins University,Virginia,Roanoke,Private,0,0,none,Baccalaureate College,,1842,,Jenalyn,,805,,SACS
Nashotah House,Wisconsin,Nashotah,Private,0,1,,Seminary,,1842,,AJB,,114,,ATSCA
Villanova University,Pennsylvania,Radnor Township(Delaware County),Private,0,1,Roman Catholic Church,Baccalaureate College,,1842,,Jenalyn,,"10,605",,
Roanoke College,Virginia,Salem,Private,0,1,Lutheran,Baccalaureate College,,1842,,Jenalyn,,"2,017",,SACS
Mary Baldwin University,Virginia,Staunton,Private,0,1,Christian-Presbyterian,Masters University,,1842,,Jenalyn,,"1,902",,SACS
Iowa Wesleyan University,Iowa,Mount Pleasant,Private,0,1,Methodist,Baccalaureate College,,1842,,Jenalyn,,741,,"HLC, NLNAC"
Marion Military Institute,Alabama,Marion,Public,0,0,none,Associates College,,1842,,,,409,,SACS
